role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
telecommunications engineer,Telecommunications Engineer,RF Engineer,RF Engineer,Test Engineer,Application Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
telemarketer,Telemarketer,Customer Relations,Customer Experience Specialist,Customer Experience Specialist,Customer Service,Sales,41-9041.00,Telemarketers
telemarketing,Telesales,Customer Relations,Customer Experience Specialist,Customer Experience Specialist,Customer Service,Sales,41-9041.00,Telemarketers
telesales,Telesales,Customer Relations,Customer Experience Specialist,Customer Experience Specialist,Customer Service,Sales,41-9041.00,Telemarketers
teller,Teller,Bank Teller,Bank Teller,Banker,Financial Advisor,Finance,43-3071.00,Tellers
terminal,Terminal Operator,Operations Coordinator,Operations Coordinator,Operations Coordinator,Distribution Specialist,Operations,53-1044.00,First-Line Supervisors of Passenger Attendants
test,Test Specialist,Test Specialist,QA Tester,QA Tester,QA Tester,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
test analyst,Test Analyst,Test Analyst,QA Tester,QA Tester,QA Tester,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
test automation engineer,Test Automation Engineer,QA Tester,QA Tester,QA Tester,QA Tester,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
test consultant,Test Analyst,Test Analyst,QA Tester,QA Tester,QA Tester,Engineer,15-1299.04,Penetration Testers
test development engineer,Test Engineering,Test Engineer,Test Engineer,Test Engineer,Application Engineer,Engineer,17-2072.00,"Electronics Engineers, Except Computer"
test engineer,Test Engineer,Test Engineer,Test Engineer,Test Engineer,Application Engineer,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
test engineering,Test Engineering,Test Engineer,Test Engineer,Test Engineer,Application Engineer,Engineer,17-2112.02,Validation Engineers
test technician,Test Technician,Electronic Technician,Electronics Specialist,Automation Engineer,Mechanical Engineer,Engineer,17-3029.01,Non-Destructive Testing Specialists
tester,Test Specialist,Test Specialist,QA Tester,QA Tester,QA Tester,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
testing,Test Specialist,Test Specialist,QA Tester,QA Tester,QA Tester,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
testing engineer,Testing Engineer,Test Engineer,Test Engineer,Test Engineer,Application Engineer,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
thesis,Thesis Work,Thesis Work,Scientist,Scientist,Scientist,Scientist,19-1011.00,Animal Scientists
thesis student,Thesis Work,Thesis Work,Scientist,Scientist,Scientist,Scientist,19-1011.00,Animal Scientists
trade,Trade Specialist,Trade Specialist,Trade Specialist,Commercial Manager,Sales Associate,Sales,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
trade finance,Trade Finance,Credit Specialist,Credit Specialist,Financial Advisor,Financial Advisor,Finance,13-2041.00,Credit Analysts
trade marketing,Trade Marketing,Brand Manager,Brand Manager,Brand Manager,Marketing,Marketing,13-1199.06,Online Merchants
trader,Trader,Trader,Trader,Wealth Manager,Financial Advisor,Finance,13-2052.00,Personal Financial Advisors
trading,Trader,Trader,Trader,Wealth Manager,Financial Advisor,Finance,11-3031.03,Investment Fund Managers
traffic,Traffic Specialist,Traffic Specialist,Scheduler,Operations Coordinator,Distribution Specialist,Operations,43-5011.00,Cargo and Freight Agents
trainer,Corporate Trainer,Corporate Trainer,Corporate Trainer,Corporate Trainer,Coordinator,Admin,39-2011.00,Animal Trainers
training,Training Facilitator,Training Facilitator,Training Facilitator,Training Facilitator,Development Manager,Admin,11-3131.00,Training and Development Managers
training consultant,Training Consultant,Training Facilitator,Training Facilitator,Training Facilitator,Development Manager,Admin,13-1151.00,Training and Development Specialists
training coordinator,Training Coordinator,Training Facilitator,Training Facilitator,Training Facilitator,Development Manager,Admin,13-1151.00,Training and Development Specialists
training development,Training and Development,Training Facilitator,Training Facilitator,Training Facilitator,Development Manager,Admin,11-3131.00,Training and Development Managers
transaction,Transaction Specialist,Real Estate Specialist,Property Manager,Property Manager,Financial Advisor,Finance,13-2041.00,Credit Analysts
transaction processing,Transaction Processing Specialist,Process Developer,Back Office,Billing Specialist,Billing Specialist,Finance,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
transformation,Transformation Specialist,Transformation Specialist,Transformation Specialist,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
transition,Transition Manager,Transition Manager,Transition Manager,HR Business Partner,Human Resources Specialist,Admin,13-1199.04,Business Continuity Planners
translator,Translator,Translator,Writer,Writer,Producer,Marketing,27-3091.00,Interpreters and Translators
transport,Transport Specialist,Operations Coordinator,Operations Coordinator,Operations Coordinator,Distribution Specialist,Operations,11-3071.00,"Transportation, Storage, and Distribution Managers"
transportation,Transportation Specialist,Operations Coordinator,Operations Coordinator,Operations Coordinator,Distribution Specialist,Operations,53-1044.00,First-Line Supervisors of Passenger Attendants
travel,Travel Specialist,Travel Specialist,Travel Specialist,Receptionist,Receptionist,Sales,41-3041.00,Travel Agents
travel consultant,Travel Consultant,Travel Specialist,Travel Specialist,Receptionist,Receptionist,Sales,41-3041.00,Travel Agents
treasurer,Treasurer,Administrator,Administrator,Officer,Operations Manager,Operations,11-3031.01,Treasurers and Controllers
treasury,Treasury Specialist,Treasury Specialist,Treasury Specialist,Auditor,Accountant,Finance,13-2051.00,Financial and Investment Analysts
treasury analyst,Treasury Specialist,Treasury Specialist,Treasury Specialist,Auditor,Accountant,Finance,13-2051.00,Financial and Investment Analysts
truck driver,Truck Driver,Driver,Driver,Driver,Distribution Specialist,Operations,53-3033.00,Light Truck Drivers
trust,Trust Associate,Trust Associate,Financial Advisor,Financial Advisor,Financial Advisor,Finance,13-2052.00,Personal Financial Advisors
trust officer,Trust Associate,Trust Associate,Financial Advisor,Financial Advisor,Financial Advisor,Finance,13-2052.00,Personal Financial Advisors
ui designer,Visual Designer,Web Designer,Web Designer,UX Designer,Designer,Marketing,27-1011.00,Art Directors
ui developer,UI Developer,Frontend Developer,Web Developer,Web Developer,Software Engineer,Engineer,15-1254.00,Web Developers
ui ux designer,Visual Designer,Web Designer,Web Designer,UX Designer,Designer,Marketing,27-1011.00,Art Directors
underwriter,Underwriter,Underwriter,Underwriter,Agent,Financial Advisor,Finance,13-2053.00,Insurance Underwriters
underwriting,Underwriter,Underwriter,Underwriter,Agent,Financial Advisor,Finance,13-2053.00,Insurance Underwriters
unemployed,Unemployed,Unemployed,Cleaner,Cleaner,Cashier,Sales,,
universal banker,Financial Services Representative,Financial Services Representative,Bank Teller,Banker,Financial Advisor,Finance,43-3071.00,Tellers
unix administrator,Unix System Administrator,Unix System Administrator,Unix System Administrator,Database Administrator,IT Specialist,Engineer,15-1242.00,Database Administrators
unix system administrator,Unix System Administrator,Unix System Administrator,Unix System Administrator,Database Administrator,IT Specialist,Engineer,15-1242.00,Database Administrators
user,UX Designer,UX Designer,UX Designer,UX Designer,Designer,Marketing,15-1254.00,Web Developers
user designer,UX Designer,UX Designer,UX Designer,UX Designer,Designer,Marketing,27-1021.00,Commercial and Industrial Designers
user researcher,User Experience Researcher,UX Designer,UX Designer,UX Designer,Designer,Marketing,19-3093.00,Historians
utility,Utility Operator,Equipment Operator,Equipment Operator,Machine Operator,Machine Operator,Engineer,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
ux designer,UX Designer,UX Designer,UX Designer,UX Designer,Designer,Marketing,27-1011.00,Art Directors
ux ui designer,Visual Designer,Web Designer,Web Designer,UX Designer,Designer,Marketing,27-1011.00,Art Directors
validation,Validation Specialist,Validation Specialist,Test Engineer,Test Engineer,Application Engineer,Engineer,17-2112.02,Validation Engineers
validation engineer,Validation Specialist,Validation Specialist,Test Engineer,Test Engineer,Application Engineer,Engineer,17-2112.02,Validation Engineers
vendor,Vendor Management,Vendor Management,Vendor Management,Vendor Management,Customer Service,Sales,41-9011.00,Demonstrators and Product Promoters
verification engineer,Verification Engineer,Test Engineer,Test Engineer,Test Engineer,Application Engineer,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
video editor,Video Editor,Producer,Producer,Producer,Producer,Marketing,27-4032.00,Film and Video Editors
virtual,Virtual Assistant,Translator,Writer,Writer,Producer,Marketing,43-6012.00,Legal Secretaries and Administrative Assistants
visual,Visual Merchandiser,Visual Merchandiser,Visual Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
visual designer,Visual Designer,Web Designer,Web Designer,UX Designer,Designer,Marketing,27-1011.00,Art Directors
visual merchandiser,Visual Merchandiser,Visual Merchandiser,Visual Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
visual merchandising,Visual Merchandiser,Visual Merchandiser,Visual Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
waiter,Bartender,Bartender,Bartender,Crew Member,Crew Member,Sales,35-3031.00,Waiters and Waitresses
waitress,Bartender,Bartender,Bartender,Crew Member,Crew Member,Sales,35-3031.00,Waiters and Waitresses
walmart,Walmart Associate,Stocker,Stocker,Cashier,Cashier,Sales,41-2011.00,Cashiers
warehouse,Warehouse Associate,Warehouse Associate,Distribution Specialist,Distribution Specialist,Distribution Specialist,Operations,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
warehouse operative,Warehouse Operative,Warehouse Operative,Stock Associate,Distribution Specialist,Distribution Specialist,Operations,53-7065.00,Stockers and Order Fillers
warehouse worker,Warehouse Worker,Warehouse Worker,Warehouse Worker,Driver,Distribution Specialist,Operations,53-7065.00,Stockers and Order Fillers
wealth,Wealth Manager,Wealth Manager,Wealth Manager,Wealth Manager,Financial Advisor,Finance,13-2052.00,Personal Financial Advisors
web application developer,Web Developer,Web Developer,Web Developer,Web Developer,Software Engineer,Engineer,15-1254.00,Web Developers
web designer,Web Designer,Web Designer,Web Designer,UX Designer,Designer,Marketing,15-1254.00,Web Developers
web developer,Web Developer,Web Developer,Web Developer,Web Developer,Software Engineer,Engineer,15-1254.00,Web Developers
welder,Welder,Welder,Welder,Foreman,Machine Operator,Engineer,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
wholesaler,Internal Wholesaler,Brokerage Specialist,Wealth Manager,Wealth Manager,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
wireline engineer,Wireline Engineer,Wireline Engineer,Wireline Engineer,Geologist,Geologist,Scientist,47-5013.00,"Service Unit Operators, Oil and Gas"
worker,Worker,Worker,Student Intern,Student Intern,Coordinator,Admin,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
workforce,Workforce Management,Workforce Management,Workforce Management,Payroll Specialist,Human Resources Specialist,Admin,13-1071.00,Human Resources Specialists
